"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"Vstm5",2.22698353037255,4.79324037635283,13.9469747155274,4.55124642979523e-09,7.74933292719567e-05,10.5133663410996,"Vstm5"
"Grin1os",1.68659517128248,3.02123158779261,12.5244065958368,1.63479306483393e-08,7.74933292719567e-05,9.50624865017549,"Grin1os"
"Fhdc1",1.50683636133999,4.9678141448833,12.2513224499021,2.11976910153388e-08,7.74933292719567e-05,9.29534861668541,"Fhdc1"
"Atp2b1",1.64229497448837,8.94407667587589,12.0824798954771,2.49533147537549e-08,7.74933292719567e-05,9.16189867984943,"Atp2b1"
"Gdpd5",2.51612380359827,4.27713913178066,12.0723168124161,2.5201080017587e-08,7.74933292719567e-05,9.1537900887207,"Gdpd5"
"Ttc39b",1.59425727610605,7.07502197430207,11.9913244616429,2.72724934902921e-08,7.74933292719567e-05,9.08885923885069,"Ttc39b"
"Lrrc26",1.11040971525119,6.18380470502389,11.8471169112788,3.14265282952145e-08,7.74933292719567e-05,8.97186648630911,"Lrrc26"
"Raet1e",1.90979606434211,3.92486245254914,10.9877776250553,7.54812118739878e-08,0.000162860149769613,8.23626607297513,"Raet1e"
"Mctp2",1.33772947632379,5.61543763453795,10.6222905975239,1.11480315700339e-07,0.000211322024142127,7.90227794089459,"Mctp2"
"Cyp24a1",10.1064538672806,7.56202065911438,10.5359934192002,1.22427451562556e-07,0.000211322024142127,7.82147523572265,"Cyp24a1"
"Hpse",1.40009635187558,4.55344113333055,10.3920473023121,1.43330712269372e-07,0.000224911947680148,7.68500098265322,"Hpse"
"Lpar1",0.772724847707552,5.48117718817028,10.1522118776789,1.87118690780885e-07,0.000269154643464071,7.45281974581964,"Lpar1"
"Rhov",2.37021060004348,1.48410040784891,10.0760352150544,2.03867376133721e-07,0.000270688829188012,7.37779598964914,"Rhov"
"H2-Q1",1.91780707233961,5.79510996209229,9.95752026526252,2.33193981148854e-07,0.000287511522043598,7.25982733227983,"H2-Q1"
"Fhl2",1.30693199034875,4.1889418461703,9.78069461465055,2.85649260164485e-07,0.000328706125313278,7.08094986988142,"Fhl2"
"5033404E19Rik",2.46359828114455,2.75895430884643,9.61741766976262,3.45392115567636e-07,0.000362643158533083,6.91267189426967,"5033404E19Rik"
"Ptges",2.43517051919235,2.22100025199632,9.58883582989846,3.57159706567546e-07,0.000362643158533083,6.88290320278825,"Ptges"
"Krt7",1.18813954913524,7.30818251878312,9.52518291866668,3.84934797081856e-07,0.000369131085134996,6.81627022868432,"Krt7"
"Bach1",0.893017122839262,6.39429883542832,9.10025633961571,6.41057088861577e-07,0.000582383495307352,6.35928370185477,"Bach1"
"Ankrd66",4.08886020544544,-2.94763973400215,8.91863031507624,8.01627788517812e-07,0.000637215797920213,6.15732284086297,"Ankrd66"
"Slc30a10",3.8358652706017,6.79585790157041,8.9173496033364,8.02901953954353e-07,0.000637215797920213,6.1558842977792,"Slc30a10"
"4931406C07Rik",1.39162270351462,7.87480326594457,8.90810555134869,8.12163116519592e-07,0.000637215797920213,6.14549499076964,"4931406C07Rik"
"Ank3",1.50701841340618,7.39761511743585,8.79055831841383,9.40407190622548e-07,0.000705755152927643,6.01245423394792,"Ank3"
"Myo19",1.08694723790852,7.20426556174121,8.63581360391244,1.14315125014912e-06,0.000822163905367665,5.83465369008564,"Myo19"
"Srgap3",1.2793011636232,4.51606365170945,8.55998679699213,1.25909246163144e-06,0.000858640162884739,5.746410950134,"Srgap3"
"Gm52958",3.74354816326421,0.711729988807796,8.53899736048975,1.293357524767e-06,0.000858640162884739,5.72185346401297,"Gm52958"
"Myadm",1.17909333915416,7.44712457129049,8.45764137777524,1.43586759700661e-06,0.000917944836738186,5.6261262693369,"Myadm"
"Fn3krp",1.09618113640318,3.06360619996073,8.26577882378544,1.84259483832718e-06,0.00107701182504891,5.39692664883557,"Fn3krp"
"Ptprj",0.97092815004247,7.35180414299362,8.26272209556382,1.84999257025918e-06,0.00107701182504891,5.39323551248475,"Ptprj"
"Pdlim2",1.73218900300582,5.98023327309541,8.25375787498027,1.87187038708459e-06,0.00107701182504891,5.38240360652999,"Pdlim2"
"Gramd3",1.08963179015991,6.91717851036066,8.18523978906574,2.04848295672732e-06,0.00114060852632485,5.2992537173981,"Gramd3"
"Gnb5",1.20324360734917,4.32474533619352,8.11379804314923,2.25168138448855e-06,0.00121457101180178,5.21188149257334,"Gnb5"
"6330403L08Rik",1.29391220783101,3.13166977819784,8.07995896462769,2.35532596339381e-06,0.00123197822588305,5.17025503770332,"6330403L08Rik"
"Ttc38",0.96831538629272,6.42701036110464,8.03307603469492,2.50739941978121e-06,0.00127294768778952,5.11232477262372,"Ttc38"
"Gfod2",1.29242412465732,4.13576609475942,7.95451085946947,2.78616620003924e-06,0.00137138825437349,5.01457065842578,"Gfod2"
"Fgf15",4.06838643700431,-2.94506260743909,7.9350485684707,2.86020376324926e-06,0.00137138825437349,4.99022332199048,"Fgf15"
"H2-Q2",1.47703113619313,7.57772237052406,7.89864369619668,3.00437497435172e-06,0.0014015815251969,4.94453994655641,"H2-Q2"
"Ate1",0.904554172717069,5.11901325280876,7.85169086130996,3.2018394754507e-06,0.0014543934522567,4.88534823937762,"Ate1"
"Asap1",1.22861487834038,5.48895112472543,7.7747407101951,3.55592700592197e-06,0.00157381682177485,4.78767383644238,"Asap1"
"Fgfbp1",0.923258259220052,6.24820136231852,7.75328930699672,3.66189967378927e-06,0.00158020125673191,4.76029693244755,"Fgfbp1"
"Gm48768",0.949680170308699,2.98741708968608,7.58987811231005,4.58829194638138e-06,0.00193167090942656,4.5496078978746,"Gm48768"
"Gm2061",2.94043138291691,3.45192058078796,7.54918548989622,4.85579726374624e-06,0.00196376358085275,4.49654987519627,"Gm2061"
"Ppard",0.712941928969398,8.58840862164606,7.5438534654584,4.8920592072689e-06,0.00196376358085275,4.48957997671158,"Ppard"
"Srcin1",1.79675852172218,-0.892928347321124,7.44772403013462,5.59765724368749e-06,0.00219593549280204,4.36321872077278,"Srcin1"
"9630028B13Rik",3.02570845087121,0.771536162360434,7.37429663029766,6.20922483627678e-06,0.00234682247800166,4.26579691989818,"9630028B13Rik"
"Nrep",1.29747988521704,4.72694749429663,7.36920283520165,6.25420508592065e-06,0.00234682247800166,4.25900945790919,"Nrep"
"H2-Bl",2.86867391701844,2.62980468701794,7.27519361002298,7.14956671088898e-06,0.00261827079249322,4.13306065372323,"H2-Bl"
"Acvr1",0.455235075933036,4.21722646859707,7.26245647803553,7.28098013091215e-06,0.00261827079249322,4.11589626649794,"Acvr1"
"Mmgt2",0.528786303232438,4.80078047060721,7.20420268831115,7.91554862065429e-06,0.00278837315798191,4.0370892572734,"Mmgt2"
"Kbtbd11",1.0210761320191,6.61019618672176,7.06386813490902,9.69795969256209e-06,0.00329256842891255,3.84517485216774,"Kbtbd11"
"Rac3",1.73005057445647,2.5406741817548,7.05604393223774,9.80912389683281e-06,0.00329256842891255,3.83438845017889,"Rac3"
"Gm8281",1.88959606876985,1.49145470049823,7.04339207994807,9.99174793353251e-06,0.00329256842891255,3.81692728797194,"Gm8281"
"Arl4a",0.606179268882815,5.94164123786958,7.03534010645041,1.01098503407894e-05,0.00329256842891255,3.80580205662296,"Arl4a"
"Tlr5",0.952997553358922,3.59041244662299,6.98289294339872,1.09162783620129e-05,0.00348936816308711,3.73309892680954,"Tlr5"
"H2-Q3",4.53213529001623,-0.854621110536961,6.96416480900258,1.12205431376044e-05,0.00349444960224116,3.70703748173852,"H2-Q3"
"Mast4",0.666385550257644,5.01615801959939,6.95479944840153,1.13760579244372e-05,0.00349444960224116,3.69398514643842,"Mast4"
"Icosl",0.806545530020121,3.82684717490899,6.94231153802717,1.15869884380551e-05,0.00349444960224116,3.67656040007485,"Icosl"
"Brdt",1.00339918542275,0.966208095276043,6.93328890977729,1.17419661045123e-05,0.00349444960224116,3.66395622458055,"Brdt"
"Stard5",1.05067765800037,6.03484967133763,6.90120960438515,1.23110193405732e-05,0.003554703838031,3.61904341892367,"Stard5"
"Rab17",0.75004008416165,4.65346449056561,6.8987244110256,1.23563078779827e-05,0.003554703838031,3.6155575176946,"Rab17"
"Cbr2",2.44735659452585,4.45248691203509,6.83366850467409,1.36069092447434e-05,0.00385030918809043,3.52397285316999,"Cbr2"
"A330049N07Rik",2.37890559778672,-1.23575576179511,6.79096061401434,1.45003557964175e-05,0.00403694582906392,3.46349996034323,"A330049N07Rik"
"Dcxr",1.04949134892952,5.40641314095755,6.74640076111419,1.54991327556734e-05,0.00424651635707426,3.40010863437849,"Dcxr"
"Adamtsl5",1.51535668851146,4.80842260586684,6.70627376378377,1.64610081118196e-05,0.00439058826549212,3.34276413599878,"Adamtsl5"
"Chmp1b",0.664878069444585,7.19557351374164,6.70334272180385,1.65337024075655e-05,0.00439058826549212,3.33856580728555,"Chmp1b"
"H2-Q10",1.4425194612289,3.49433001100462,6.66969759932245,1.73929336201197e-05,0.00454877920025586,3.2902794179825,"H2-Q10"
"2310079G19Rik",-2.46328072757738,1.18461484540701,-6.64764918197528,1.79815618714826e-05,0.00463253342483076,3.2585421370041,"2310079G19Rik"
"Tmem53",0.91958075421348,2.47004100460873,6.5892053002681,1.96462363413442e-05,0.00498696596305797,3.17405471938734,"Tmem53"
"Slc39a8",1.10381548652681,6.1010108117112,6.56184844515688,2.04807971899431e-05,0.00506818137307524,3.13432667827979,"Slc39a8"
"Pigw",0.783376792756447,3.45697436391288,6.55952368715092,2.05534265752428e-05,0.00506818137307524,3.13094531518464,"Pigw"
"Gars",1.09681654471632,7.62015314315726,6.53835753933248,2.12273677419133e-05,0.00516064217736853,3.10012080942283,"Gars"
"Sorcs3",-2.79042392606371,-1.80923725881292,-6.52614663265539,2.1626771034604e-05,0.00518471798372639,3.08230649801105,"Sorcs3"
"Btbd8",1.32242870917982,4.52181643196448,6.48261792516112,2.31164712583676e-05,0.0054659371286395,3.01861582711939,"Btbd8"
"Aktip",0.533043180512077,5.69740330076762,6.46164666829819,2.38725726151421e-05,0.0055684388636482,2.98782642796585,"Aktip"
"Fyb2",0.88906509064353,2.98989180578818,6.45126431256389,2.42565393736832e-05,0.00558256168172194,2.97255817518047,"Fyb2"
"Gm43428",1.44291893379144,0.0970809525775679,6.40602477800174,2.6007464000552e-05,0.00590677415938853,2.90583431046359,"Gm43428"
"Gm12252",-1.58917550210508,0.622947886857933,-6.37806783417706,2.71559028150408e-05,0.00608750699338206,2.864442023631,"Gm12252"
"Pla2g3",1.7407567432726,4.70052099976041,6.36061244549435,2.79000379153615e-05,0.00617413531355199,2.83853658080676,"Pla2g3"
"Prr5",0.929964458324154,4.85512130944581,6.2546126295384,3.29071482475475e-05,0.00718852623924464,2.68020669949548,"Prr5"
"Dusp1",-1.02463211660132,4.23745158350067,-6.24670647730678,3.33168471780066e-05,0.00718852623924464,2.66832743340093,"Dusp1"
"Cdyl2",1.61656627049057,0.939627392287468,6.17338304705428,3.73833948540569e-05,0.00789019352170355,2.55769298023396,"Cdyl2"
"Cthrc1",3.08869630839358,-0.305534121957516,6.17169269079454,3.74831046161689e-05,0.00789019352170355,2.55513260636817,"Cthrc1"
"Pparg",0.710707511375558,6.42007215007483,6.1547305219206,3.84993449077868e-05,0.00792148284038901,2.52941545976644,"Pparg"
"Slc30a2",3.11870558615311,2.35597894494023,6.15390409695144,3.85495949593115e-05,0.00792148284038901,2.52816133294085,"Slc30a2"
"Adap2",1.55293652140472,2.43429667678362,6.12268921376583,4.04991947076373e-05,0.00822419529233562,2.48071383315153,"Adap2"
"Fgl2",1.15324202468531,6.51160005125369,6.06348988002668,4.44880407958359e-05,0.00892916362996422,2.39031225427381,"Fgl2"
"Sox13",-0.624079573430032,5.81209468406097,-6.05002460318813,4.5451928101041e-05,0.00901776702243757,2.36967360230368,"Sox13"
"Grin1",1.16511953836126,1.70271449417661,6.03113369417806,4.68414934787581e-05,0.00918785248791868,2.34067130211161,"Grin1"
"Tnfsf13b",0.846347303642846,2.86055934759444,5.99765196696969,4.94155418301988e-05,0.0095517686214521,2.28913185115461,"Tnfsf13b"
"Atoh8",1.33540345229083,1.99350841080699,5.99276489490407,4.98035557575279e-05,0.0095517686214521,2.28159442898641,"Atoh8"
"Foxn1",-1.37580003619786,0.197327538614928,-5.96175925139761,5.23413222600268e-05,0.00990418483783171,2.23368720580189,"Foxn1"
"Ttc22",0.976308858626131,6.47136315009474,5.95645847407997,5.27886568032279e-05,0.00990418483783171,2.22548192514086,"Ttc22"
"Prelp",2.55688844361559,5.07056684947324,5.93073693109303,5.50172542380369e-05,0.0102113207032554,2.18560444846527,"Prelp"
"Gm49282",-1.01149736285073,0.837747095009046,-5.90998636162775,5.6887362601019e-05,0.0104460932537892,2.15335871804827,"Gm49282"
"Gm3264",1.94067001676768,-0.578080784177408,5.89607568857381,5.81784553470879e-05,0.0105086383989215,2.1317044763821,"Gm3264"
"Trpv6",3.71111516768387,3.85688456507145,5.89323814274875,5.84455875265899e-05,0.0105086383989215,2.12728367679358,"Trpv6"
"Trim47",2.54437621370887,1.83658681404226,5.85321886586517,6.23538466729067e-05,0.0110957705919695,2.06480173359765,"Trim47"
"Dnmbp",0.647787512669237,7.54170376366604,5.83387847764997,6.43403991391019e-05,0.0112988668389932,2.0345164987002,"Dnmbp"
"Gm33694",1.00326419688554,4.28007205203079,5.82738073311982,6.5022684702759e-05,0.0112988668389932,2.02432860928955,"Gm33694"
"Impa1",0.380897430612639,6.57833837657318,5.81598504146685,6.62377342364309e-05,0.0112988668389932,2.00644535159625,"Impa1"
"Gm4065",-0.527801680429881,0.43316897406573,-5.81347165941841,6.65089240868225e-05,0.0112988668389932,2.00249838980764,"Gm4065"
"0610005C13Rik",-0.605149126353628,5.32578182883819,-5.81107955636822,6.67681141056318e-05,0.0112988668389932,1.9987409719609,"0610005C13Rik"
"Ppp1r15b",0.58910775170793,7.67130614210173,5.79218346029409,6.88533127125467e-05,0.0115386119488473,1.96902856806377,"Ppp1r15b"
"Gm8909",1.6774115895599,4.3343874665302,5.77360488948341,7.09704082353033e-05,0.0117790405437459,1.93976149239563,"Gm8909"
"Tfpi2",0.722022642798759,2.45125702745205,5.75149906970988,7.35790499455972e-05,0.0120956950581996,1.9048682549401,"Tfpi2"
"Cdc42bpa",0.872744986295134,5.93339465703338,5.73366451172051,7.57571515024706e-05,0.012336265963058,1.8766619397493,"Cdc42bpa"
"2210011K15Rik",3.85426481898264,-0.998348319399061,5.72237395245522,7.71710333983739e-05,0.012449058013919,1.85877988965173,"2210011K15Rik"
"Sdr42e1",0.754621441423362,5.65022490397816,5.6984141307389,8.02642203878593e-05,0.012828154704767,1.82076695360759,"Sdr42e1"
"Cyp26b1",1.52499894213394,-0.719868167357826,5.68356548473963,8.22463973347905e-05,0.0129763603421614,1.79716468266117,"Cyp26b1"
"Cyp2u1",-0.786066722901683,1.53561360821344,-5.67694269205641,8.3147029999551e-05,0.0129763603421614,1.78662663262821,"Cyp2u1"
"5031439G07Rik",0.553297182456342,5.54971401089605,5.67475472959352,8.34468453728008e-05,0.0129763603421614,1.78314370630066,"5031439G07Rik"
"Gm5340",1.75861460717413,-0.441704868320725,5.63370308270327,8.9288002010075e-05,0.0137607160954991,1.71765860662899,"Gm5340"
"Gm20478",1.79741015599101,-0.0830192656598106,5.62209439272704,9.10166280711208e-05,0.0139029913020851,1.69909353816195,"Gm20478"
"Mapkapk3",0.666901877484656,6.03149712867023,5.6067482112973,9.33559684521901e-05,0.0141352401004671,1.6745195544208,"Mapkapk3"
"Fgf9",0.662293799718422,1.60476508899799,5.58460498392582,9.6843433416247e-05,0.0145357782973725,1.63899770343139,"Fgf9"
"Prkar2a",0.539719677530602,7.74637524976515,5.5769867134075,9.80747139032882e-05,0.0145936865231436,1.6267592038763,"Prkar2a"
"Plekhm3",1.02208079640636,2.49800706192992,5.56996464193623,9.92242093882105e-05,0.014638539130341,1.61547060567856,"Plekhm3"
"Acot5",1.82246828930903,-0.119405868125186,5.56170211809024,0.000100594917219796,0.0146839830486277,1.60217820552287,"Acot5"
"Gm38416",1.12355900360593,2.13356488887994,5.55789221992304,0.000101233647111216,0.0146839830486277,1.59604548340996,"Gm38416"
"Cds2",0.659416252408278,6.52924565187668,5.54909743590169,0.00010272441961976,0.0147407817284128,1.58188020771743,"Cds2"
"Fgf11",1.02357759323398,2.64133812706707,5.54554436478846,0.000103333212973637,0.0147407817284128,1.57615411820953,"Fgf11"
"Fndc5",1.71290642674046,3.8526855953064,5.53972251746692,0.000104338952199682,0.0147622512616288,1.56676752523143,"Fndc5"
"Sdcbp2",0.932278629442655,7.55191855568249,5.53153249990838,0.000105771240718936,0.0147836314593297,1.55355395781111,"Sdcbp2"
"Ggnbp2",0.509328009356538,6.77189468820764,5.52908637572089,0.000106203018420536,0.0147836314593297,1.54960545725871,"Ggnbp2"
"Vmn2r101",1.07075823915726,-0.573529671401844,5.50618251010163,0.000110336869008343,0.0151495343561042,1.51259007764428,"Vmn2r101"
"Styk1",0.625731192395484,7.04895460309034,5.50482596357519,0.000110586949126303,0.0151495343561042,1.51039522919978,"Styk1"
"Dhcr24",0.825152205007402,8.55012142827804,5.48688731221464,0.000113950505572625,0.0154873990290478,1.48134473219475,"Dhcr24"
"Agpat2",0.589826364495154,6.96432495083833,5.47157800619829,0.000116905996391038,0.0157649562789508,1.45651359932613,"Agpat2"
"Pkdcc",0.669040302872816,6.14944434503887,5.46016573497711,0.000119161453639141,0.015944541482676,1.43798016467555,"Pkdcc"
"Adap2os",1.45141790840744,-0.139470535489661,5.42942657322421,0.000125466723035772,0.0165358561406127,1.38796184320224,"Adap2os"
"Prune1",0.563325261785522,4.64069060198252,5.4292847146271,0.000125496619803039,0.0165358561406127,1.38773068147268,"Prune1"
"Als2cl",0.863978472317189,5.49327619252193,5.39803002998952,0.000132269354557363,0.0172962221895048,1.33672639147956,"Als2cl"
"Slc15a4",0.635816819333479,4.24160052010048,5.38493652418697,0.00013521963956023,0.0175490691612717,1.3153154244199,"Slc15a4"
"Gm26642",0.683795850147028,1.38459192558404,5.34118173086954,0.000145589587339963,0.0187538945304113,1.24357915013909,"Gm26642"
"Sema6d",0.671124522376866,5.92302454542321,5.3330587600805,0.000147604824614087,0.01887264353825,1.23022990690929,"Sema6d"
"Slc39a9",0.520673067535615,7.57285556395435,5.3134891448187,0.000152580906479219,0.0193654340201309,1.19802882297426,"Slc39a9"
"Cldn15",0.911410184219584,7.68410755295224,5.29141247550214,0.000158406216730195,0.0199580270582474,1.16163392588177,"Cldn15"
"Gm20621",0.997732245104673,0.494548870943875,5.26356345368123,0.000166088915315671,0.0206840965812948,1.1156195725537,"Gm20621"
"Dok7",-0.784449452751321,1.81179923726641,-5.26188011236081,0.00016656563494583,0.0206840965812948,1.11283453703148,"Dok7"
"Slc25a51",0.45132157158569,6.43854261452104,5.25499782623814,0.000168529648924596,0.0207785019291961,1.10144364664034,"Slc25a51"
"Semp2l2a",1.31565091787048,-0.972425412713242,5.23980783039742,0.000172950806037097,0.0211723678227399,1.07627785562108,"Semp2l2a"
"Gm48809",-0.963586579001605,1.95888010669244,-5.21558174191002,0.000180255089789714,0.0219111486257765,1.03607122299879,"Gm48809"
"Mppe1",0.462742871450124,4.51247441520992,5.18460388453129,0.00019006860362653,0.0227762996921273,0.98453339011197,"Mppe1"
"Parm1",0.533948730654076,8.50146564185905,5.18327624099837,0.000190501488296514,0.0227762996921273,0.982321448133418,"Parm1"
"Tert",0.646909280443929,1.42918880920119,5.1807411207815,0.000191330945794477,0.0227762996921273,0.978097053946409,"Tert"
"Amph",1.03221938089861,1.23932326856014,5.15707172755959,0.000199260128051683,0.0234715122794766,0.938610302490264,"Amph"
"Gm16287",1.45580306082854,-0.728535099246097,5.15066343512393,0.00020146551642393,0.0234715122794766,0.927905543161828,"Gm16287"
"Neurog3",-0.888328280187878,-0.467513903970202,-5.14968928509167,0.000201802996254909,0.0234715122794766,0.926277746896874,"Neurog3"
"Gclc",-0.550963931835783,6.60012837063777,-5.14380299307589,0.00020385484040599,0.0234715122794766,0.916438868310039,"Gclc"
"Hsd17b2",0.788880993203056,7.33544753981544,5.14347435386865,0.000203970038927147,0.0234715122794766,0.915889402727603,"Hsd17b2"
"Gmfb",0.494432872870457,6.54264878594714,5.12311643992213,0.000211240605538875,0.0239934589182339,0.881821605469161,"Gmfb"
"Sgpp2",0.457847423071007,8.01205570899846,5.12299194950124,0.000211285890479784,0.0239934589182339,0.881613093159309,"Sgpp2"
"Slc25a45",2.62449126399687,2.94291865201439,5.10219285088402,0.000218996258745026,0.0247064994914895,0.846744678439157,"Slc25a45"
"H2-Q5",1.55401677033832,2.97279120531974,5.08135641784545,0.00022701601731831,0.0254449576294244,0.811751141546657,"H2-Q5"
"Tldc2",-0.769984175582,2.46709448607517,-5.04808128708901,0.000240466157149684,0.0267786215391013,0.755738406787694,"Tldc2"
"Insig2",0.870851281712537,5.58377572082726,5.04258286643656,0.000242767669090396,0.0268616201036496,0.746467568006937,"Insig2"
"S100g",1.5856020885771,6.10972706280576,5.03437761496061,0.000246245098976153,0.027072844926289,0.732624759000762,"S100g"
"Agbl2",2.53201380923766,0.780766810922122,4.99959519354634,0.000261574226071269,0.0285761564317479,0.673838386900474,"Agbl2"
"Hif1a",-0.649757261484576,6.75374262722083,-4.99368101702071,0.000264278310711877,0.0286899869257717,0.663825717830259,"Hif1a"
"Dhcr7",0.572162968063858,6.9820121480977,4.98808580342018,0.000266863443322049,0.0287895618448868,0.654348514136941,"Dhcr7"
"Gm3636",1.31798261667192,0.570217300009272,4.95345229916665,0.000283463837085924,0.0302918638317085,0.595588283336317,"Gm3636"
"Arrb2",1.00609074365414,2.50831198037598,4.951766628926,0.000284298820504998,0.0302918638317085,0.592724041574225,"Arrb2"
"Gm45397",-2.26287313592743,-1.01379469257977,-4.94739917138349,0.000286474172073164,0.0303363845653674,0.585301141313943,"Gm45397"
"Orai3",0.534664589801773,4.32542621441539,4.94100199772525,0.00028969190305076,0.0304900727960924,0.574423752312627,"Orai3"
"Snx8",0.91367542623492,2.31133192955355,4.93401189399089,0.000293251042315197,0.0306776135842582,0.562531669221525,"Snx8"
"Gnaq",0.405637279481402,6.08697601075518,4.9252889388617,0.000297756609912792,0.0309613062873778,0.547682013856754,"Gnaq"
"Cd200r2",0.733173067670923,2.99875486036829,4.91688092657006,0.000302167911681795,0.0310662003803064,0.533358525680677,"Cd200r2"
"Chrnb1",0.857811755207369,1.41799114649177,4.91650833373924,0.000302364965175336,0.0310662003803064,0.532723567977557,"Chrnb1"
"Scel",1.23135455750773,2.15053911000466,4.91075443505789,0.000305425117303609,0.0311949286969088,0.522915569628551,"Scel"
"Crim1",0.623661388975203,5.96201785974543,4.88974393318982,0.000316876558592454,0.0320138868146419,0.48706265936031,"Crim1"
"Gm5159",1.39806412691928,-1.1954437202459,4.88924691859001,0.000317152809530373,0.0320138868146419,0.486213804602246,"Gm5159"
"Myorg",-0.530144911054481,3.97451885129109,-4.88313599300447,0.000320569994130865,0.0321706899342608,0.475774141535563,"Myorg"
"Chdh",-0.58122697591386,6.66624663273671,-4.87778838746866,0.000323591841951869,0.0322862357452671,0.466634305528953,"Chdh"
"Zfp219",-0.334718369735022,5.33132556179424,-4.85635336320317,0.000336005820484046,0.0333321636056042,0.429959512984245,"Zfp219"
"Sipa1l1",-0.30422426115797,6.50118738937689,-4.83286499829691,0.000350180840526236,0.0345398370761335,0.389699767450537,"Sipa1l1"
"Mapre2",0.600634384767065,7.15107742687802,4.80711593937034,0.00036643867237973,0.0359380563860598,0.34547952501585,"Mapre2"
"Rnf5",0.444892863264681,6.04626337960721,4.79291859768118,0.000375737351279863,0.0366418215844165,0.321059620475814,"Rnf5"
"Plk3",-1.22957985832894,4.62165875172249,-4.78300257068474,0.000382377503145313,0.0370798768639958,0.30398776325954,"Plk3"
"Phactr2",0.725290033856766,5.40551247226353,4.77688468103463,0.000386535144852825,0.0371562207181651,0.293448416580748,"Phactr2"
"Gm5796",3.12618771735146,-2.55940701469866,4.77302993392824,0.000389178938927704,0.0371562207181651,0.286805255268175,"Gm5796"
"Gm26737",1.28522623681484,0.443473722081628,4.76960059549615,0.000391546795048065,0.0371562207181651,0.28089357539409,"Gm26737"
"Baiap2l2",-0.906190129558065,6.63743223310542,-4.76927090502691,0.000391775225694111,0.0371562207181651,0.280325154975825,"Baiap2l2"
"Ppp1r14d",0.917891443462746,6.74769542080494,4.763290533235,0.000395942989113063,0.0373462947272163,0.270011879814265,"Ppp1r14d"
"Ndnf",1.51715412031157,1.60697494408337,4.75545543034798,0.000401473310730952,0.0376621240028639,0.256492932370306,"Ndnf"
"Pygb",0.617087779344514,7.06727888581784,4.73492865785402,0.00041634660658976,0.0388462636559235,0.221037048662752,"Pygb"
"Pdzd2",0.88022202077038,1.98801485532987,4.72297462675667,0.000425271486041168,0.0394656511857882,0.200363426269292,"Pdzd2"
"Srd5a2",-0.774455272008221,3.6563924544108,-4.71220766429978,0.000433480555884371,0.0400123415781825,0.18172681044692,"Srd5a2"
"Nqo1",-0.41801205518902,4.67520523114856,-4.70295959124851,0.000440663194992698,0.0404129181097939,0.165707235467019,"Nqo1"
"Vmn1r214",1.18636631245704,0.198456930270142,4.69804796747031,0.000444528114347926,0.0404129181097939,0.157194786207705,"Vmn1r214"
"Gm15283",-0.697551270163737,-0.500581029732658,-4.69764834097181,0.000444844124955729,0.0404129181097939,0.156502047113167,"Gm15283"
"Sun2",1.47624517159991,7.17408246465554,4.68765323969798,0.000452824394107338,0.0407435456055104,0.139169175577956,"Sun2"
"Pdgfa",1.07316962698842,5.98863447922366,4.68369856949195,0.000456022863344237,0.0407435456055104,0.132307685981963,"Pdgfa"
"Gm11545",-0.871389703627771,2.82774765610754,-4.68226267646496,0.000457189996475285,0.0407435456055104,0.129815864642255,"Gm11545"
"Zfyve21",0.571623600464093,4.78651471327546,4.68136006207343,0.000457925256211634,0.0407435456055104,0.12824934936497,"Zfyve21"
"Amigo2",0.918668673247536,2.89134286025452,4.67572632749489,0.000462542315468515,0.0409270276256423,0.118469466748643,"Amigo2"
"Gm31235",-1.10868751959592,3.24500392572462,-4.67307780294431,0.000464729587777411,0.0409270276256423,0.113870354976686,"Gm31235"
"Cyp4f40",-0.480221562495957,6.36019760544085,-4.66480550331809,0.000471630760760686,0.0413239520887827,0.0994998919180565,"Cyp4f40"
"Hagh",0.536479076554349,5.49639558651874,4.60957521907277,0.000520523212100222,0.0453775311316259,0.00333278229675393,"Hagh"
"Padi2",0.538313233579558,3.65739146265235,4.60090539403754,0.000528663989135928,0.0458433477509124,-0.0117978999420263,"Padi2"
"Extl1",0.842491373788989,1.11899300488127,4.59825564278971,0.000531178352944932,0.0458433477509124,-0.0164241419797344,"Extl1"
"Nr1h3",-0.514704984080203,4.06131300357459,-4.59537429637187,0.000533926582731741,0.045851277335983,-0.0214557182954724,"Nr1h3"
"Itga3",-0.424465000820411,7.22305014301679,-4.58459275900333,0.00054434174978652,0.0465142719953719,-0.0402921885636216,"Itga3"
"Il1rap",0.622143958674431,3.70160250533479,4.57691611514105,0.000551885985150207,0.0469266206388065,-0.0537128280166419,"Il1rap"
"Slc34a2",1.96479674399317,6.37856388374604,4.57316794189305,0.000555608882804879,0.0470115927749756,-0.0602681791543178,"Slc34a2"
"Prkcg",0.862456943453171,1.11861491368227,4.56436297664015,0.00056445742337949,0.047527315048553,-0.075674360548887,"Prkcg"
"Syk",0.792888505803882,6.58717648596414,4.55944843446483,0.000569459794206849,0.0477157548922545,-0.0842775322051459,"Syk"
"Pdzk1ip1",-0.68130528734872,6.06877563349042,-4.53975282461165,0.000589973804162102,0.0491298591301962,-0.118785246432569,"Pdzk1ip1"
